"nome", "sobrenome", "email", "datanascimento", "genero", "tiposanguineo", "endereco", "cidade", "estado", "cep","cpf", "frkPlanoSaude"
"Fernanda", "Souza", "FernandaSantosSouza@superrito.com", "9/1/1969", "F", "O+", "Rua Alzira Cez�rio de Oliveira 1940", "S�o Jos� do Rio Preto", "SP", "15047-031","65402883360", "112"
"Mateus", "Rodrigues", "MateusCostaRodrigues@jourrapide.com", "6/28/1958", "M", "A+", "Rua Guilherme 1820", "Queimados", "RJ", "26385-440","04505086178", "98"
"Kauan", "Pereira", "KauanOliveiraPereira@gustr.com", "12/19/1968", "M", "O-", "Estrada do Mandu 5", "Salvador", "BA", "41250-400","89502677560", "231"
"F�bio", "Ferreira", "FabioAzevedoFerreira@superrito.com", "4/30/1939", "M", "B+", "Rua B 36", "Rondon�polis", "MT", "78745-130","94958092153", "389"
"Brenda", "Rodrigues", "BrendaAzevedoRodrigues@armyspy.com", "10/17/1935", "F", "A+", "Rua Cassemiro Antunes Cevey 1235", "Lages", "SC", "88516-050","74573843086", "323"
"Isabela", "Alves", "IsabelaCorreiaAlves@cuvox.de@g.com", "3/2/2003", "F", "A+", "Rua 288 1779", "Crici�ma", "SC", "88815-110","92446871780", "91"
"Sofia", "Sousa", "SofiaCorreiaSousa@jourrapide.com", "12/24/1989", "F", "O+", "Avenida S�o Paulo 239", "Aparecida de Goi�nia", "GO", "74905-770","36104902413", "145"
"Isabela", "Ribeiro", "IsabelaOliveiraRibeiro@jourrapide.com@g.com", "12/20/1990", "F", "B+", "Rua da Paz 147", "Campo Mour�o", "PR", "87306-400","32765298661", "45"
"Matheus", "Cavalcanti", "MatheusOliveiraCavalcanti@teleworm.us", "10/30/1989", "M", "A-", "Avenida Aristides Bellodi 1901", "Jaboticabal", "SP", "14887-206","14604141878", "895"
"Paulo", "Ribeiro", "PauloSousaRibeiro@cuvox.de", "6/24/1981", "M", "A+", "Rua Sabino Pires 1414", "Fortaleza", "CE", "60150-090","05114111388", "122"
"Matilde", "Barros", "MatildeCardosoBarros@einrot.com", "7/12/1990", "F", "A-", "Rua Vinte e Tr�s 1688", "Itu", "SP", "13312-754","52957151758", "345"
"Vinicius", "Azevedo", "ViniciusBarbosaAzevedo@dayrep.com", "10/30/1992", "M", "AB+", "Rua Maitaca 1106", "Ipatinga", "MG", "35162-510","98573054743", "145"
"Carla", "Barros", "CarlaCarvalhoBarros@einrot.com", "7/8/1951", "F", "B+", "Rua Carlos Rocha 1677", "Niter�i", "RJ", "24358-370","25048788931", "122"
"Nicole", "Pinto", "NicoleSilvaPinto@dayrep.com", "6/22/1950", "F", "B+", "Rua Andr� Corr�a 1924", "Joinville", "SC", "89229-582","22028037261", "895"
"Eduarda", "Lima", "EduardaSantosLima@fleckens.hu", "6/21/1984", "F", "O+", "Alameda S�o Boa Ventura 636", "Niter�i", "RJ", "24120-196","12743258896", "91"
"Kau�", "Cardoso", "KauaRodriguesCardoso@armyspy.com", "10/29/1941", "M", "A+", "Rua Maria Isabel Concei��o Oliveira 1429", "Sorocaba", "SP", "18017-276","15508430601", "956"
"Alex", "Carvalho", "AlexRibeiroCarvalho@cuvox.de", "3/15/1944", "M", "A+", "Rua 16 786", "Manaus", "AM", "69086-170","69112777528", "323"
"Leonardo", "Correia", "LeonardoCarvalhoCorreia@jourrapide.com", "12/17/1950", "M", "B+", "Rua BW-16 1356", "Itabira", "MG", "35902-079","30746425139", "231"
"Marina", "Martins", "MarinaSouzaMartins@dayrep.com", "8/14/1988", "F", "O+", "Servid�o Marciano Pedro Severino 462", "Florian�polis", "SC", "88058-777","09911478394", "895"
"Guilherme", "Cardoso", "GuilhermeRochaCardoso@cuvox.de", "4/23/1981", "M", "A+", "Rua Vinte e Cinco 612", "Uberaba", "MG", "38051-434","60155308394", "145"
"Beatrice", "Barros", "BeatriceFernandesBarros@gustr.com@g.com", "10/26/1956", "F", "O+", "Rua Foz do Momoria 305", "Campo Grande", "MS", "79044-800","25838193727", "986"
"�gatha", "Correia", "AgathaLimaCorreia@rhyta.com", "8/18/1945", "F", "A+", "Rua Quinze 1634", "Sete Lagoas", "MG", "35703-266","17044427880", "895"
"Tom�s", "Carvalho", "TomasGomesCarvalho@jourrapide.com", "7/6/1968", "M", "A+", "Quadra Quadra 106 Conjunto 05 700", "Recanto das Emas", "DF", "72601-209","03554637840", "323"
"Beatriz", "Lima", "BeatrizCarvalhoLima@jourrapide.com", "3/4/1954", "F", "B+", "Rua Pichita Cohen 1311", "Parintins", "AM", "69151-592","57262716107", "112"
"Clara", "Barros", "ClaraAzevedoBarros@dayrep.com", "11/19/1936", "F", "B+", "Avenida Engenheiro Correia Lima 1732", "Goi�nia", "GO", "74660-420","63357565790", "345"
"Kaua", "Azevedo", "KauaFernandesAzevedo@superrito.com", "11/2/1953", "M", "O+", "Rua Setenta e Um 1305", "Petrolina", "PE", "56309-700","05879654796", "986"
"Thiago", "Barros", "ThiagoCastroBarros@rhyta.com", "1/19/1957", "M", "A+", "Rua Manoel dos Santos Martins 369", "Po�os de Caldas", "MG", "37704-285","60455527920", "389"
"Isabela", "Cavalcanti", "IsabelaPereiraCavalcanti@rhyta.com@g.com", "3/6/1940", "F", "AB+", "Travessa Apr�gio de S� 129", "Tubar�o", "SC", "88704-610","95444496712", "45"
"Marina", "Melo", "MarinaCarvalhoMelo@gustr.com", "12/7/1994", "F", "O+", "Vila do Trilho 1761", "Salvador", "BA", "40231-160","21424957966", "389"
"Emilly", "Goncalves", "EmillyBarrosGoncalves@einrot.com", "6/26/1934", "F", "O+", "Rua Afr�nio Peixoto 1954", "Joinville", "SC", "89205-530","77034561010", "112"
"Julieta", "Castro", "JulietaFernandesCastro@fleckens.hu", "8/4/1954", "F", "A+", "Rua Pedro Costa 1320", "S�o Jos� do Rio Preto", "SP", "15043-260","41512984019", "389"
"Beatrice", "Rocha", "BeatriceAlvesRocha@einrot.com@g.com", "5/9/1977", "F", "O+", "Rua Ipi�u 1318", "Recife", "PE", "50110-335","54443693971", "98"
"F�bio", "Oliveira", "FabioCorreiaOliveira@teleworm.us", "12/25/1939", "M", "B+", "Rua Vargedo 1610", "Nova Igua�u", "RJ", "26051-520","55929664315", "122"
"Melissa", "Almeida", "MelissaGomesAlmeida@jourrapide.com", "5/22/1995", "F", "AB+", "Travessa Givanildo da Silva 1844", "S�o Paulo", "SP", "04845-185","17471405627", "98"
"Beatriz", "Correia", "BeatrizCardosoCorreia@dayrep.com", "12/11/1958", "F", "A+", "Caminho da Covanca do Fragoso 248", "Rio de Janeiro", "RJ", "23031-560","54417910049", "45"
"Samuel", "Correia", "SamuelPintoCorreia@teleworm.us", "9/22/1989", "M", "B+", "Rua Castro Alves 99", "Uberl�ndia", "MG", "38412-042","52590952783", "122"
"Guilherme", "Lima", "GuilhermePintoLima@gustr.com", "10/4/1955", "M", "O+", "Rua da Fraternidade 965", "Altamira", "PA", "68377-550","76463251712", "895"
"Yasmin", "Carvalho", "YasminSantosCarvalho@rhyta.com", "10/5/1998", "F", "AB+", "Pra�a S�o Benedito 1562", "Salvador", "BA", "41940-890","52045414388", "345"
"Rafaela", "Gomes", "RafaelaCarvalhoGomes@fleckens.hu", "2/14/1982", "F", "A+", "Vila Bomfim 372", "Crato", "CE", "63113-020","30974312339", "112"
"Bruno", "Cunha", "BrunoPintoCunha@cuvox.de", "6/2/1972", "M", "A+", "Avenida Pedro Teixeira 826", "Manaus", "AM", "69040-000","08238836557", "389"
"Martim", "Almeida", "MartimRodriguesAlmeida@cuvox.de", "7/10/1952", "M", "A+", "Rua Beco da Paz 302", "Teresina", "PI", "64055-465","24028203902", "231"
"Vitor", "Cardoso", "VitorSilvaCardoso@dayrep.com", "5/23/1981", "M", "B+", "Rua do Atletismo 1690", "Londrina", "PR", "86056-300","71515918025", "895"
"Joao", "Pinto", "JoaoDiasPinto@teleworm.us", "8/24/1997", "M", "A+", "Rua Maria Veltri 248", "S�o Paulo", "SP", "03534-020","22708556630", "231"
"Luis", "Rocha", "LuisRodriguesRocha@armyspy.com", "10/23/1976", "M", "O+", "Avenida Waldemar Alves 1558", "Ara�atuba", "SP", "16072-175","82259439292", "98"
"Beatriz", "Melo", "BeatrizCarvalhoMelo@fleckens.hu", "6/6/1992", "F", "B+", "Beco F 945", "Porto Alegre", "RS", "90820-280","86052478608", "956"
"Samuel", "Rocha", "SamuelAraujoRocha@armyspy.com", "7/26/1945", "M", "B+", "Rua Tapera 1321", "Itapecerica da Serra", "SP", "06853-280","02646415079", "231"
"Kaua", "Araujo", "KauaRibeiroAraujo@dayrep.com", "12/29/1980", "M", "A+", "Rua Niter�i 1223", "Passo Fundo", "RS", "99042-540","77838621879", "345"
"Nicolas", "Cavalcanti", "NicolasBarrosCavalcanti@einrot.com", "7/14/1932", "M", "O+", "Rua Vereador Adeodato Volpi 64", "Curitiba", "PR", "81110-050","36632728936", "323"
"Gustavo", "Cardoso", "GustavoBarbosaCardoso@gustr.com", "8/23/1969", "M", "A+", "Rua Joaquim Carboni 34", "Ja�", "SP", "17201-240","62740823525", "91"
"�gatha", "Silva", "AgathaLimaSilva@gustr.com", "9/1/2000", "F", "O+", "Pra�a Prefeito Alaor Prata 1542", "Rio de Janeiro", "RJ", "20785-250","88195985238", "45"
"Pedro", "Ribeiro", "PedroCavalcantiRibeiro@superrito.com", "5/25/1965", "M", "O+", "Rua Doutor Afonso Vergueiro 968", "S�o Paulo", "SP", "02116-002","92313865657", "231"
"Nicolas", "Melo", "NicolasFernandesMelo@fleckens.hu", "9/11/1938", "M", "AB+", "Rua Oito 1299", "Juazeiro", "BA", "48907-010","67695039802", "98"
"Melissa", "Carvalho", "MelissaPereiraCarvalho@cuvox.de", "6/5/1933", "F", "B+", "Rua Carira 1378", "Aracaju", "SE", "49085-090","26548888430", "145"
"Emilly", "Rodrigues", "EmillyCastroRodrigues@cuvox.de", "8/28/1984", "F", "B+", "Rua C 336", "Rio de Janeiro", "RJ", "23060-530","84902677822", "323"
"�gatha", "Alves", "AgathaCostaAlves@superrito.com", "6/27/1990", "F", "B+", "Rua B 9 671", "Goi�nia", "GO", "74365-370","22322511447", "122"
"Ant�nio", "Pereira", "AntonioGoncalvesPereira@jourrapide.com", "8/13/1949", "M", "O+", "Rua Jos� Vaz da Costa 1931", "Garanhuns", "PE", "55296-150","17756541251", "323"
"Manuela", "Oliveira", "ManuelaAlmeidaOliveira@armyspy.com", "2/9/1972", "F", "O+", "Avenida C 3 755", "Goi�nia", "GO", "74265-030","10308399137", "323"
"Manuela", "Alves", "ManuelaCostaAlves@superrito.com", "1/13/1962", "F", "O+", "Avenida Francisco Pereira Lopes 535", "S�o Carlos", "SP", "13561-250","84854627182", "112"
"Lu�s", "Azevedo", "LuisSilvaAzevedo@teleworm.us", "5/31/1961", "M", "O+", "Rua S�o F�lix 1965", "Aparecida de Goi�nia", "GO", "74984-420","00144419424", "122"
"Rafael", "Cavalcanti", "RafaelSantosCavalcanti@armyspy.com", "5/24/2003", "M", "A+", "Rua Doutor Barbosa de Andrade 1229", "Campinas", "SP", "13070-141","35598724138", "91"
"Kauan", "Cavalcanti", "KauanBarbosaCavalcanti@armyspy.com", "9/21/1959", "M", "A+", "Rua Djanira 281", "Petr�polis", "RJ", "25710-290","36880099831", "45"
"Emily", "Araujo", "EmilyCarvalhoAraujo@cuvox.de", "9/8/1987", "F", "A+", "Rua Domingos Barbe 172", "Osasco", "SP", "06246-172","31550138855", "112"
"Julieta", "Ribeiro", "JulietaCastroRibeiro@fleckens.hu", "2/1/1993", "F", "O+", "Rua Sete 1930", "Itu", "SP", "13308-463","59142710375", "122"
"Emily", "Costa", "EmilyFerreiraCosta@einrot.com", "5/7/1986", "F", "O+", "Rua Charles Murray 1966", "S�o Paulo", "SP", "04358-040","23442136601", "895"
"Sarah", "Goncalves", "SarahRodriguesGoncalves@dayrep.com", "3/21/1938", "F", "A+", "Rua Amaragi 837", "Belford Roxo", "RJ", "26116-750","54971897682", "91"
"Gustavo", "Martins", "GustavoMeloMartins@dayrep.com", "10/9/1954", "M", "O+", "Rua Nunes Freire 1131", "S�o Lu�s", "MA", "65055-390","78643223107", "145"
"Carla", "Carvalho", "CarlaFerreiraCarvalho@rhyta.com", "9/24/1944", "F", "O+", "Rua N�lio Abreu 23", "Blumenau", "SC", "89035-170","25837229647", "389"
"Marina", "Dias", "MarinaBarbosaDias@einrot.com", "4/21/1945", "F", "B+", "Rua Amadeu Alice 290", "Curitiba", "PR", "82620-100","07376470190", "122"
"Brenda", "Souza", "BrendaSousaSouza@fleckens.hu", "7/25/1967", "F", "A+", "Rua Am�lia Sanches Matheus 1083", "Presidente Prudente", "SP", "19045-020","99283789083", "231"
"Leonardo", "Ferreira", "LeonardoOliveiraFerreira@dayrep.com", "1/23/1954", "M", "O+", "Avenida Tenente-Coronel Duarte 381", "Cuiab�", "MT", "78020-450","57036447206", "45"
"Emily", "Cunha", "EmilyLimaCunha@jourrapide.com", "4/11/1971", "F", "O+", "Rua Ernesto Roberto 741", "Limeira", "SP", "13482-482","53387881100", "122"
"Marcos", "Castro", "MarcosGomesCastro@dayrep.com", "12/18/1941", "M", "A+", "Avenida Doutor David Zoilo Morandini 1800", "Jundia�", "SP", "13208-380","38883182626", "345"
"Vit�r", "Araujo", "VitorCavalcantiAraujo@rhyta.com", "10/5/2000", "M", "O-", "Rua Silvana Aparecida de Abreu 769", "Hortol�ndia", "SP", "13185-260","59178969417", "956"
"Rodrigo", "Carvalho", "RodrigoRibeiroCarvalho@armyspy.com", "9/4/1965", "M", "O+", "Rua Pl�cido de Castro 1698", "Santo Andr�", "SP", "09220-430","27847045486", "145"
"Rebeca", "Almeida", "RebecaPintoAlmeida@fleckens.hu", "3/30/1934", "F", "O-", "Rua Fritz Reimann 474", "Guarulhos", "SP", "07044-020","75140088029", "112"
"Melissa", "Silva", "MelissaSouzaSilva@fleckens.hu", "6/3/2002", "F", "AB+", "Rua Capivari 792", "Campinas", "SP", "13050-571","47345911640", "986"
"Renan", "Souza", "RenanRochaSouza@superrito.com", "4/14/1969", "M", "B+", "2� Avenida Bahia 775", "Salvador", "BA", "41207-865","52868191924", "956"
"Let�cia", "Pinto", "LeticiaCarvalhoPinto@armyspy.com", "9/21/1986", "F", "A+", "Rua Pedro Teixeira 651", "Tucuru�", "PA", "68458-410","27704000020", "231"
"Leonardo", "Oliveira", "LeonardoRochaOliveira@gustr.com", "1/31/1967", "M", "O+", "Rua S�o Felisbino 260", "Canoas", "RS", "92020-460","91847229328", "323"
"Julian", "Pinto", "JulianCostaPinto@fleckens.hu", "1/18/1946", "M", "O+", "Rua Jos� Martins Barbosa 1419", "Nova Friburgo", "RJ", "28625-450","53365422960", "145"
"Luiza", "Cavalcanti", "LuizaSousaCavalcanti@einrot.com", "10/30/1983", "F", "B+", "Travessa Trajano de Moraes 1154", "Niter�i", "RJ", "24230-380","24798100625", "956"
"Gustavo", "Cardoso", "GustavoSilvaCardoso@dayrep.com", "3/10/1978", "M", "O-", "Rua Ipojuca 1626", "Jaboat�o dos Guararapes", "PE", "54480-310","93846056200", "112"
"Aline", "Ribeiro", "AlineCavalcantiRibeiro@superrito.com", "6/18/1972", "F", "A+", "Alameda Laos 470", "Barretos", "SP", "14784-061","13943382281", "389"
"Livia", "Santos", "LiviaRochaSantos@dayrep.com", "9/13/1984", "F", "O+", "Rua Manuel Soares 638", "S�o Paulo", "SP", "03716-190","21258094193", "323"
"Eduarda", "Azevedo", "EduardaBarrosAzevedo@jourrapide.com", "8/13/1937", "F", "A-", "Pra�a Carlos Gomes 1981", "S�o Jos� dos Campos", "SP", "12216-010","39127314979", "986"
"Isabelle", "Souza", "IsabelleDiasSouza@dayrep.com", "11/21/1966", "F", "A+", "Pra�a Maria do C�u 1724", "S�o Paulo", "SP", "02337-112","65008065220", "389"
"Nicolash", "Carvalho", "NicolashCunhaCarvalho@cuvox.de", "3/12/1949", "M", "O+", "Rua Leonardo da Vinci 1200", "Goi�nia", "GO", "74325-020","90177952717", "112"
"Igor", "Santos", "IgorCarvalhoSantos@rhyta.com", "3/9/1993", "M", "O+", "Rua Riachuelo 180", "Salvador", "BA", "40015-430","27845959006", "231"
"Vin�cius", "Azevedo", "ViniciusOliveiraAzevedo@teleworm.us", "2/21/1966", "M", "O+", "Estrada Jos� Maria Salgado 1072", "Jacare�", "SP", "12335-220","08367495616", "122"
"Guilherme", "Almeida", "GuilhermeGoncalvesAlmeida@cuvox.de", "2/25/2004", "M", "B-", "Rua San Juan 1024", "Francisco Morato", "SP", "07957-010","43169523740", "91"
"Thiago", "Almeida", "ThiagoMeloAlmeida@gustr.com", "5/17/1984", "M", "A+", "Rua BW-04 492", "Itabira", "MG", "35902-067","00387243593", "986"
"Beatrice", "Gomes", "BeatriceSilvaGomes@teleworm.us@g.com", "10/7/1984", "F", "O+", "Rua �ngela M. Malheiro 1327", "V�rzea Grande", "MT", "78115-822","94242314906", "98"
"Lara", "Carvalho", "LaraMartinsCarvalho@cuvox.de", "7/7/1982", "F", "A+", "Rua Jorge Washington 640", "S�o Paulo", "SP", "03437-080","37639044685", "986"
"J�lia", "Gomes", "JuliaDiasGomes@rhyta.com", "8/18/2003", "F", "A+", "Rua 122 1867", "An�polis", "GO", "75100-660","25101273902", "986"
"Matilde", "Cavalcanti", "MatildeGoncalvesCavalcanti@jourrapide.com", "1/29/1958", "F", "A+", "Rua 5 MP 790", "Rio Claro", "SP", "13506-175","14081401608", "345"
"Eduarda", "Ribeiro", "EduardaOliveiraRibeiro@dayrep.com", "6/10/1995", "F", "O+", "Avenida Norberto Braz 483", "Guarulhos", "SP", "07133-150","65319647824", "112"
"Emily", "Santos", "EmilyPintoSantos@gustr.com", "12/13/1944", "F", "B+", "Rua Profeta Joel 122", "Umuarama", "PR", "87508-046","43159503003", "122"
"Vit�ria", "Santos", "VitoriaRochaSantos@fleckens.hu", "5/3/1935", "F", "O-", "Beco Uirapuru 1399", "Manaus", "AM", "69075-790","75407710110", "145"
"Carla", "Barros", "CarlaCardosoBarros@fleckens.hu", "8/14/1962", "F", "B+", "Rua Rafael Jos� Silva 1139", "Belo Horizonte", "MG", "31330-610","72680946553", "389"
"Ant�nio", "Oliveira", "AntonioCardosoOliveira@gustr.com", "9/2/1954", "M", "A-", "Rua Um 1278", "Montes Claros", "MG", "39404-504","70445688580", "323"
"Gabrielle", "Rodrigues", "GabrielleDiasRodrigues@fleckens.hu", "6/11/1985", "F", "O+", "Rua Coronel Ferreira 553", "Cabo Frio", "RJ", "28915-370","78418481455", "98"
"Kai", "Almeida", "KaiBarbosaAlmeida@einrot.com", "4/8/1945", "M", "O-", "Travessa Jos� Cavalcanti 693", "Igarassu", "PE", "53630-720","57999657603", "323"
"Clara", "Lima", "ClaraAraujoLima@cuvox.de", "4/13/1997", "F", "O+", "Rua Sn-04 665", "Ananindeua", "PA", "67140-370","76838336146", "45"
"Brenda", "Almeida", "BrendaRochaAlmeida@jourrapide.com", "5/9/1983", "F", "A-", "Quadra QNN 31 273", "Ceil�ndia", "DF", "72225-310","07158140105", "345"
"Beatriz", "Santos", "BeatrizGomesSantos@superrito.com", "10/8/2000", "F", "A+", "Rua L�cio Ribeiro dos Santos 265", "Nil�polis", "RJ", "26510-120","18979331690", "895"
"Nicolash", "Rodrigues", "NicolashAraujoRodrigues@gustr.com", "7/11/2000", "M", "A+", "Rua Salvador 74", "Santa Cruz do Sul", "RS", "96845-620","16971061705", "45"
"Vit�r", "Barbosa", "VitorAlvesBarbosa@einrot.com", "8/19/1984", "M", "A+", "Rua MG-010 1793", "Aparecida de Goi�nia", "GO", "74965-500","26454737926", "345"
"Vit�r", "Correia", "VitorCarvalhoCorreia@cuvox.de", "12/3/1968", "M", "A+", "Rua Bar�o de S�o Jo�o Nepomuceno 959", "Juiz de Fora", "MG", "36010-081","61019053305", "956"
"Tha�s", "Araujo", "ThaisAlmeidaAraujo@armyspy.com", "9/26/1996", "F", "B+", "Rua 163 20", "Manaus", "AM", "69097-443","12993609980", "112"
"Enzo", "Dias", "EnzoPintoDias@armyspy.com", "11/23/1942", "M", "O-", "Rua Itamb� 418", "Fortaleza", "CE", "60831-460","44874002790", "895"
"Anna", "Silva", "AnnaDiasSilva@rhyta.com", "12/23/1957", "F", "O+", "Rua Jo�o Francisco Lopes 832", "Ponta Grossa", "PR", "84052-290","29068356330", "895"
"Fernanda", "Santos", "FernandaRochaSantos@superrito.com", "8/15/1946", "F", "O-", "Pra�a Coronel Ant�nio Alexandrino Gorja 1640", "Campinas", "SP", "13044-080","26179820414", "112"
"Paulo", "Sousa", "PauloBarbosaSousa@gustr.com", "8/30/1958", "M", "O+", "Vila Oper�ria 672", "Salvador", "BA", "40365-135","50222905026", "122"
"Diogo", "Pereira", "DiogoAlmeidaPereira@cuvox.de", "10/15/1969", "M", "O+", "Rua Libra 461", "Rio de Janeiro", "RJ", "23010-500","48119581520", "122"
"Kau�", "Silva", "KauePintoSilva@teleworm.us", "9/4/1975", "M", "O+", "Rua Coronel Laurentino Morais 678", "Mossor�", "RN", "59614-480","71230660496", "98"
"Martim", "Rodrigues", "MartimCorreiaRodrigues@rhyta.com", "10/27/1996", "M", "A+", "Rua Rodagem 1600", "Salvador", "BA", "40726-310","51346379548", "323"
"J�lia", "Silva", "JuliaPereiraSilva@superrito.com", "12/8/1935", "F", "A+", "Quadra QNO 18 Conjunto 73 1274", "Ceil�ndia", "DF", "72260-873","64360026854", "45"
"Douglas", "Azevedo", "DouglasCastroAzevedo@gustr.com", "9/2/2002", "M", "B+", "Rua Porto Velho 190", "Maring�", "PR", "87010-020","69201563426", "986"
"Rebeca", "Ribeiro", "RebecaRodriguesRibeiro@gustr.com", "6/25/1939", "F", "A+", "Rua Grou 1533", "Ponta Grossa", "PR", "84046-300","24346741940", "45"
"Erick", "Pereira", "ErickRochaPereira@dayrep.com", "2/5/1965", "M", "O+", "Rua das Araras 819", "S�o Jos� dos Pinhais", "PR", "83045-620","80247441716", "98"
"Nicole", "Rodrigues", "NicoleRibeiroRodrigues@einrot.com", "2/3/1961", "F", "A+", "Rua Tiradentes 1700", "Governador Valadares", "MG", "35020-610","75261229901", "98"
"Bruna", "Ferreira", "BrunaAraujoFerreira@fleckens.hu", "10/10/1937", "F", "O+", "4� Travessa do Norte 1732", "Salvador", "BA", "41905-680","11771900792", "895"
"Andr�", "Almeida", "AndreMartinsAlmeida@armyspy.com", "7/18/1945", "M", "B+", "Alameda Praia de Pontal 1830", "Salvador", "BA", "41600-050","39970418491", "345"
"Mariana", "Fernandes", "MarianaBarrosFernandes@jourrapide.com", "12/17/1940", "F", "A+", "Rua Elisabeth Vais 299", "Sorocaba", "SP", "18052-730","16400082255", "895"
"Enzo", "Barros", "EnzoMartinsBarros@gustr.com", "6/20/1983", "M", "B+", "Rua Pioneiro Jos� Pinto 447", "Reden��o", "PA", "68553-310","30792961412", "956"
"Vit�ria", "Barbosa", "VitoriaRochaBarbosa@jourrapide.com", "12/1/1947", "F", "B+", "Rua Carlos Menolli 960", "Londrina", "PR", "86072-310","52648692193", "91"
